Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-10-08 21:00	14361	6060	0	304	3129	4648	1713	-288	54	64	348	1443
2024-10-08 21:05	14263	6055	0	304	3033	4981	1479	-288	54	59	359	1442
2024-10-08 21:10	14219	6059	0	310	3123	4868	1456	-288	55	59	359	1437
2024-10-08 21:15	14211	6058	0	310	2919	4519	1786	-288	54	60	359	1441
2024-10-08 21:20	14181	6057	0	312	2839	4667	1545	-288	54	59	359	1438
2024-10-08 21:25	14139	6056	0	311	2720	4730	1509	-288	54	60	359	1400
2024-10-08 21:30	14132	6054	0	311	2715	4538	1513	-288	54	59	359	1434
2024-10-08 21:35	14050	6057	0	308	2612	4561	1549	-288	54	56	359	1438
2024-10-08 21:40	13998	6059	0	309	2669	4299	1290	-288	55	52	359	1438
2024-10-08 21:45	14044	6060	0	309	2552	4017	1387	-288	54	48	359	1435
2024-10-08 21:50	13777	6058	0	310	2510	3871	1715	-288	54	44	359	1429
2024-10-08 21:55	13670	6057	0	305	2642	3966	1512	-288	54	35	359	1424
2024-10-08 22:00	13710	6060	0	307	2476	3525	1307	-279	54	25	359	1416
2024-10-08 22:05	13891	6057	0	306	2113	3945	910	-268	54	17	358	1357
2024-10-08 22:10	14061	6055	0	306	1801	3897	1221	-268	54	11	358	1303
2024-10-08 22:15	14079	6057	0	306	1773	3904	1085	-268	54	11	358	1279
2024-10-08 22:20	14088	6057	0	307	1891	3615	1072	-268	54	11	358	1266
2024-10-08 22:25	14056	6058	0	305	1907	3490	921	-268	54	11	358	1227
2024-10-08 22:30	14105	6059	0	305	1748	3222	979	-268	54	11	358	1262
2024-10-08 22:35	14187	6054	0	307	1643	3310	796	-268	54	11	358	1260
2024-10-08 22:40	14224	6062	0	307	1558	2977	1016	-268	54	11	358	1265
2024-10-08 22:45	14122	6064	0	306	1446	2725	924	-268	54	11	358	1258
2024-10-08 22:50	13740	6064	0	305	1480	2964	889	-259	54	11	358	1226
2024-10-08 22:55	13684	6059	0	306	1399	2679	1249	-259	54	11	358	1247
2024-10-08 23:00	13691	6059	0	306	1420	2928	662	-243	54	11	358	1215
2024-10-08 23:05	13633	6060	0	305	1580	3184	210	-217	54	11	352	1177
2024-10-08 23:10	13583	6060	0	305	1713	3064	40	-204	54	11	352	1122
2024-10-08 23:15	14000	6062	0	307	1458	2380	131	-205	54	11	352	1150
2024-10-08 23:20	14088	6063	0	305	1347	2382	149	-204	54	11	352	1146
2024-10-08 23:25	14080	6062	0	305	1326	2298	258	-204	54	11	352	1145
2024-10-08 23:30	14108	6061	0	305	1324	2355	-115	-204	54	11	352	1116
2024-10-08 23:35	14022	6064	0	306	1314	2110	117	-205	54	11	352	1151
2024-10-08 23:40	13940	6062	0	306	1314	2147	-85	-204	54	11	352	1152
2024-10-08 23:45	13675	6060	0	306	1295	1866	164	-204	54	11	352	1150
2024-10-08 23:50	13495	6062	0	306	1309	1833	437	-205	54	11	352	1137
2024-10-08 23:55	13491	6059	0	306	1310	1765	287	-205	54	11	352	1143
2024-10-09 00:00	13514	6064	0	306	1304	1524	239	-191	54	11	352	1112
2024-10-09 00:05	13516	6060	0	305	1364	1503	473	-179	54	11	328	1088
2024-10-09 00:10	13773	6059	0	307	1314	1561	245	-179	54	11	328	1080
2024-10-09 00:15	13968	6059	0	306	1207	1407	267	-179	55	11	328	1034
2024-10-09 00:20	13800	6060	0	306	1196	1172	495	-179	54	11	328	1062
2024-10-09 00:25	13692	6061	0	306	1205	1213	426	-180	54	11	328	1057
2024-10-09 00:30	13662	6062	0	305	1147	1029	485	-179	54	11	328	1054
2024-10-09 00:35	13522	6057	0	313	1204	1082	614	-179	54	11	328	1013
2024-10-09 00:40	13404	6056	0	332	1203	1057	549	-179	54	11	328	1048
2024-10-09 00:45	13394	6063	0	358	1172	1025	530	-179	54	11	328	1044
2024-10-09 00:50	13135	6058	0	384	1206	1053	635	-179	54	11	328	1048
2024-10-09 00:55	13074	6056	0	403	1162	992	441	-179	54	10	328	1016
2024-10-09 01:00	12953	6056	0	416	1126	697	742	-165	54	10	328	1046
2024-10-09 01:05	12387	6060	0	407	1167	970	849	-153	54	10	324	1028
2024-10-09 01:10	12417	6060	0	408	1188	874	917	-153	54	10	324	1027
2024-10-09 01:15	12434	6059	0	405	1243	731	832	-153	54	10	324	1023
2024-10-09 01:20	12194	6061	0	406	1243	558	1327	-153	54	11	324	1012
2024-10-09 01:25	12328	6058	0	406	1263	537	955	-153	54	10	324	1019
2024-10-09 01:30	12346	6058	0	406	1260	527	985	-153	54	11	324	1021
2024-10-09 01:35	12283	6060	0	408	1255	524	1125	-153	54	10	324	1022
2024-10-09 01:40	12229	6060	0	407	1250	531	1011	-153	54	11	324	1021
2024-10-09 01:45	12198	6058	0	407	1253	549	1000	-153	54	10	324	1022
2024-10-09 01:50	12108	6061	0	407	1252	550	969	-153	54	10	324	1022
2024-10-09 01:55	12186	6061	0	407	1259	493	903	-153	54	10	324	1018
2024-10-09 02:00	12110	6060	0	407	1231	531	836	-139	54	10	324	981
2024-10-09 02:05	12006	6059	0	421	1242	462	1042	-128	54	10	323	1018
2024-10-09 02:10	11768	6055	0	439	1277	325	1016	-128	54	10	323	1020
2024-10-09 02:15	11723	6057	0	455	1283	302	1210	-128	54	10	323	1021
2024-10-09 02:20	11599	6063	0	466	1281	356	1260	-128	54	10	323	976
2024-10-09 02:25	11586	6060	0	465	1281	337	1071	-128	54	11	323	1005
2024-10-09 02:30	11619	6061	0	467	1280	342	871	-128	54	11	323	1010
2024-10-09 02:35	11486	6060	0	467	1280	283	995	-128	54	11	323	1013
2024-10-09 02:40	11483	6061	0	467	1278	217	1095	-128	54	11	323	1010
2024-10-09 02:45	11370	6063	0	471	1274	233	1328	-128	54	11	323	1010
2024-10-09 02:50	11305	6063	0	467	1278	166	1568	-128	54	11	323	1010
2024-10-09 02:55	11122	6063	0	462	1297	163	1422	-128	54	11	323	1007
2024-10-09 03:00	10919	6067	0	462	1292	215	1487	-128	54	11	323	1011
2024-10-09 03:05	10881	6063	0	462	1316	197	1760	-128	54	10	323	1010
2024-10-09 03:10	11094	6062	0	462	1314	162	1645	-128	54	10	323	1008
2024-10-09 03:15	10952	6058	0	461	1368	365	1442	-128	54	11	323	1009
2024-10-09 03:20	10844	6065	0	461	1348	327	1588	-128	54	11	323	1009
2024-10-09 03:25	10874	6061	0	461	1338	287	1520	-128	54	11	323	978
2024-10-09 03:30	10952	6064	0	461	1336	297	1420	-128	54	11	323	1007
2024-10-09 03:35	10863	6065	0	462	1312	243	1554	-128	54	11	323	1011
2024-10-09 03:40	10867	6061	0	459	1329	187	1579	-128	54	11	323	1010
2024-10-09 03:45	10919	6059	0	460	1329	321	1405	-128	54	11	323	976
2024-10-09 03:50	10796	6066	0	457	1333	220	1549	-128	54	11	323	1007
2024-10-09 03:55	10815	6064	0	460	1339	290	1657	-128	54	11	323	1006
2024-10-09 04:00	10817	6062	0	462	1335	312	1640	-128	54	10	323	1006
2024-10-09 04:05	10640	6062	0	460	1321	263	1696	-128	54	10	323	972
2024-10-09 04:10	10623	6065	0	462	1325	463	1655	-128	54	11	323	994
2024-10-09 04:15	10756	6064	0	463	1316	338	1658	-128	54	11	323	1001
2024-10-09 04:20	10929	6061	0	460	1305	307	1431	-128	54	10	323	1008
2024-10-09 04:25	10944	6062	0	459	1299	283	1507	-128	54	10	323	1006
2024-10-09 04:30	10973	6063	0	459	1296	297	1222	-128	54	10	323	1007
2024-10-09 04:35	10889	6056	0	460	1216	278	1613	-128	54	10	323	1005
2024-10-09 04:40	10925	6060	0	459	1189	63	1720	-128	54	10	323	1005
2024-10-09 04:45	10912	6069	0	459	1219	254	1646	-128	54	10	323	1006
2024-10-09 04:50	11335	6062	0	458	1218	56	1298	-128	54	10	321	1007
2024-10-09 04:55	11020	6060	0	460	1212	198	1429	-128	54	10	321	1001
2024-10-09 05:00	11074	6061	0	457	1219	303	1408	-142	54	10	321	1006
