Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-23 21:00	5901	4049	0	263	4331	8352	1636	-288	1251	846	461	1920
2024-05-23 21:05	5968	4056	0	248	3982	8343	2234	-288	987	818	512	1896
2024-05-23 21:10	6056	4053	0	248	3820	8497	2660	-288	768	790	512	1938
2024-05-23 21:15	6115	4048	0	248	3847	8703	2570	-288	609	768	512	1939
2024-05-23 21:20	6184	4052	0	248	3962	8762	2662	-288	476	744	512	1943
2024-05-23 21:25	6187	4055	0	248	4024	8938	2547	-288	372	712	512	1908
2024-05-23 21:30	6245	4051	0	248	4052	9058	-1976	4399	308	677	512	1944
2024-05-23 21:35	6305	4052	0	248	3999	9215	2660	-288	269	651	512	1947
2024-05-23 21:40	6377	4053	0	248	4016	9244	2406	-288	251	631	512	1946
2024-05-23 21:45	6410	4054	0	248	3958	9097	2443	-288	243	609	512	1946
2024-05-23 21:50	6564	4052	0	250	3989	9058	2381	-288	241	596	512	1947
2024-05-23 21:55	6697	4055	0	247	3975	8937	2384	-288	240	581	512	1948
2024-05-23 22:00	6863	4053	0	247	3963	8949	1756	-279	239	573	512	1908
2024-05-23 22:05	6949	4054	0	248	4297	9127	856	-268	239	563	517	1944
2024-05-23 22:10	7124	4055	0	248	4342	8914	702	-268	239	564	517	1946
2024-05-23 22:15	7226	4057	0	248	4399	8679	628	-268	239	559	517	1951
2024-05-23 22:20	7311	4052	0	248	4072	8781	567	-267	238	553	517	1950
2024-05-23 22:25	7429	4055	0	249	3921	8571	609	-268	238	551	517	1957
2024-05-23 22:30	7603	4052	0	249	3757	8399	602	-267	239	534	517	1951
2024-05-23 22:35	7638	4053	0	252	3476	8554	545	-267	238	525	517	1950
2024-05-23 22:40	7712	4054	0	250	3357	8526	540	-268	238	525	517	1953
2024-05-23 22:45	7744	4055	0	250	3356	8422	457	-268	238	525	517	1953
2024-05-23 22:50	7765	4059	0	250	3183	8086	578	-267	238	527	517	1952
2024-05-23 22:55	7841	4052	0	250	3086	7875	572	-267	229	527	517	1950
2024-05-23 23:00	7897	4057	0	247	3116	7943	122	-243	229	527	517	1948
2024-05-23 23:05	7895	4048	0	249	3478	7897	-399	-218	225	528	521	1946
2024-05-23 23:10	7901	4051	0	248	3536	7750	-490	-205	225	526	521	1900
2024-05-23 23:15	7903	4054	0	249	3567	7665	-795	-205	224	527	521	1936
2024-05-23 23:20	7950	4056	0	249	3276	7454	-340	-204	224	526	521	1935
2024-05-23 23:25	7990	4054	0	251	3275	7230	-322	-205	225	527	521	1936
2024-05-23 23:30	8039	4056	0	250	3357	7048	-439	-205	224	527	521	1897
2024-05-23 23:35	8127	4054	0	250	3213	6853	-437	-205	224	529	521	1937
2024-05-23 23:40	8143	4057	0	250	3111	6589	-394	-205	224	527	521	1938
